TimeMs,Temp1,Temp2,Temp3,Temp4,CoolantTemp,Current,PumpCmd,FanCmd,PumpRpm,FanRpm,Fault
7000,34.9999,35.4999,34.5999,35.2999,26.9402,100,15,0,600,0,0
7100,34.9999,35.4999,34.5999,35.2999,26.9647,100,15,0,600,0,0
7200,34.9999,35.4999,34.5999,35.2999,26.9891,100,15,0,600,0,0
7300,34.9999,35.4999,34.5999,35.2999,27.0134,100,15,0,600,0,0
7400,34.9999,35.4999,34.5999,35.2999,27.0377,100,15,0,600,0,0
7500,34.9999,35.4999,34.5999,35.2999,27.0619,100,15,0,600,0,0
7600,34.9999,35.4999,34.5999,35.2999,27.086,100,15,0,600,0,0
7700,34.9999,35.4999,34.5999,35.2999,27.11,100,15,0,600,0,0
7800,34.9999,35.4999,34.5999,35.2999,27.134,100,15,0,600,0,0
7900,34.9999,35.4999,34.5999,35.2999,27.1579,100,15,0,600,0,0
8000,34.9999,35.4999,34.5999,35.2999,27.1817,100,15,0,600,0,0
8100,34.9999,35.4999,34.5999,35.2999,27.2055,100,15,0,600,0,0
8200,34.9999,35.4999,34.5999,35.2999,27.2292,100,15,0,600,0,0
8300,34.9999,35.4999,34.5999,35.2999,27.2528,100,15,0,600,0,0
8400,34.9999,35.4999,34.5999,35.2999,27.2763,100,15,0,600,0,0
8500,34.9999,35.4999,34.5999,35.2999,27.2998,100,15,0,600,0,0
8600,34.9999,35.4999,34.5999,35.2999,27.3232,100,15,0,600,0,0
8700,34.9999,35.4999,34.5999,35.2999,27.3465,100,15,0,600,0,0
8800,34.9999,35.4999,34.5999,35.2999,27.3698,100,15,0,600,0,0
8900,34.9999,35.4999,34.5999,35.2999,27.393,100,15,0,600,0,0
9000,34.9999,35.4999,34.5999,35.2999,27.4161,100,15,0,600,0,0
9100,34.9999,35.4999,34.5999,35.2999,27.4391,100,15,0,600,0,0
9200,34.9999,35.4999,34.5999,35.2999,27.4621,100,15,0,600,0,0
9300,34.9999,35.4999,34.5999,35.2999,27.485,100,15,0,600,0,0
9400,34.9999,35.4999,34.5999,35.2999,27.5079,100,15,0,600,0,0
9500,34.9999,35.4999,34.5999,35.2999,27.5307,100,15,0,600,0,0
9600,34.9999,35.4999,34.5999,35.2999,27.5534,100,15,0,600,0,0
9700,34.9999,35.4999,34.5999,35.2999,27.576,100,15,0,600,0,0
9800,34.9999,35.4999,34.5999,35.2999,27.5986,100,15,0,600,0,0
9900,34.9999,35.4999,34.5999,35.2999,27.6211,100,15,0,600,0,0
10000,34.9999,35.4999,34.5999,35.2999,27.6435,100,15,0,600,0,0
10100,34.9999,35.4999,34.5999,35.2999,27.6659,100,15,0,600,0,0
10200,34.9999,35.4999,34.5999,35.2999,27.6882,100,15,0,600,0,0
